S.N,EVENTS,STATUS,ORGANISING UNIVERSITY,"PROPOSED DATE  I/U
TOURNAMENT"
1,Aquatics (M),A.I.,"Jain University, Bangalor",26-30 Oct. 2018
2,Aquatics (W),A.I.,"V. T. University, Belgaon",28-31 Oct. 2018
2,Archery (M&W),A.I.,"KIIT University, Bhubaneshwar",26-30 Nov. 2018
3,Athletics (M&W),A.I.,"Mangalore University, Mangalore",24-30 Nov. 2018
4,Badminton (M),"W.Z.
I.Z.","Savitribai Phule University, Pune
SRM University, Chennai","IV week Nov. 2018
26-30 Nov. 2018"
4,Badminton (W),"W.Z.
I.Z.","Dr. PDK Vidyapeeth
VIT University, Vellore (TN)","Ist week Nov. 2018
10-14 Nov. 2018"
5,Baseball (M&W),A.I,"Panjabi University, Patiala",14-18 Feb. 2019
6,Basketball (M),"W.Z.
I.Z.","Babasaheb Ambedekar Uni, Marathwada
SRM Univeristy, Chennai","IIIrd week Nov. 2018
20-25 Nov. 2018"
7,Basketball (W),"W.Z
I.Z","LNIPE Univeristy, Gwalior
LNIPE Univeristy, Gwalior","III week Nov. 2018
16-19 Nov. 2018"
8,Boxing (M&W),A.I,"Manipur University, Imphal",23-28 Nov. 2018
9,Chess (M),"W.Z
I.Z","Dr. PDK Vidyapeeth (MS)
CCS University, Meerut","IInd week Dec. 2018
16-20 Dec. 2018"
9,Chess (W),"W.Z
I.Z","Dr. PDK Vidyapeeth (MS)
Guru Jambeshwar University (HR)","Ist week Dec. 2018
10-14 Dec. 2018"
10,Cricket (M),"W.Z.
I.Z.","VNS Gujarat University,
KIIT University, Bhubaneshwar","Vth week Dec. 2018
08-12 Jan. 2019"
11,Cricket (W),"W.Z
I.Z","RTM University, Nagpur
Andhra University","Vth week Jan. 2019
06-11 Feb. 2019"
12,Cross Country Race(M&W),A.I.,"Gulbarga University, Gulbarga",30 Oct. 2018
13,Foot ball (M),"W.Z.
I.Z.","University of Mumbai, Mumbai
University of Mumbai, Mumbai","IInd week Nov. 2018
15-20 Nov. 2018"
14,Foot ball (W),"W.Z.
I.Z.","Barkatullah University, Bhopal
Guru Nanak Dev Uni., Amritsar","IIIrd week Nov. 2018
20-25 Nov. 2018"
15,"Gymnastics (M&W)
& Malakhamb (M&W)",A.I.,"Panjab University, Chandigarh",20-25 Nov. 2018
16,Handball (M),"W.Z
I.Z.","Solapur University, Solapur
GND University, Amritsar","Ist week Jan. 2019
10-15 Jan. 2019"
17,Handball (W),"W.Z
I.Z.","Savitribai Phule University, Pune
VBS Purvanchal, Jaunpur","IInd week Jan. 2019
14-18 Jan. 2019"
18,Hockey (M),"W.Z.
I.Z","LNIPE Univeristy, Gwalior
NHTS, Delhi","IVth week Nov. 2018
25-30 Nov. 2018"
19,Hockey (W),"W.Z
I.Z","LNIPE Univeristy, Gwalior
KIIT University, Bhubaneshwar","IIIrd week Nov. 2018
26-29 Nov. 2018"
20,Indoor Hockey 5Õs (M),A.I.,"Kurukshetra University, Kurukshetra",19-22 Jan. 2019
21,Judo (M),A.I.,"GND University, Amritsar",20-24 Nov. 2018
22,Judo (W),A.I.,"Gauhati University, Assam",05-08 Nov. 2018
23,Kabaddi (M),"W.Z.
I.Z.","Shivaji University, Kolhapur
KIIT University, Bhubaneshwar","IIIrd week Nov. 2018
20-25 Nov. 2018"
24,Kabaddi (W),"W.Z.
I.Z.","SRTM University, Nanded
HP University, Shimla","IIIrd week Nov. 2018
22-26 Nov. 2018"
25,Kho-Kho (M),"W.Z.
I.Z.","University of Mumbai, Mumbai
University of Mumbai, Mumbai","IIIrd week Nov. 2018
16-20 Nov 2018"
26,Kho-Kho (W),"W.Z.
I.Z.","North Maharashtra University, Jalgaon
RML Awad, Faizabad","Vth week Oct. 2018
10-13 Nov. 2018"
27,Power lifting (M&W),A.I.,University of Calicut,05-11 Feb. 2019
28,Roll Ball (M&W),A.I.,"LP University, Phagwara",03-07 Jan. 2019
29,Shooting (M&W),A.I.,"Panjab University, Chandigarh",20-25 Nov. 2018
30,Softball (M),A.I,"SRTM University, Nanded",25-28 Feb. 2019
31,Softball (W),A.I,University of Calicut,Ist week March 2019
32,Squash Rackets (M),A.I.,"Manipal University, Jaipur",15-20 Dec. 2018
33,Table Tennis (M),"W.Z.
I.Z.","SRTM University, Nanded
Gitam University, (AP)","IIIrd week Nov. 2018
25-29 Nov. 2018"
34,Table Tennis (W),"W.Z.
I.Z.","North Maharashtra University, Jalgaon
Algappa University","IInd week Nov. 2018
15-18 Nov. 2018"
35,Taekwondo (M&W),A.I.,"MD University, Rohtak",16-18 Feb. 2019
35,Taekwondo (Women),A.I.,"MD University, Rohtak",20-22 Feb. 2019
36,Tennis (M),"W.Z.
I.Z.","Vacant
SRM University, Chennai","IIIrd week Nov. 2018
26-30 Nov. 2018"
37,Tennis (W),"W.Z.
I.Z.","Vacant
Vacant","IInd week Nov. 2018
18-22 Nov. 2018"
38,Volley ball (M),"W.Z.
I.Z.","Barkatullah University, Bhopal
CSJM, Kanpur","IIIrd week Nov. 2018
24-29 Nov. 2018"
39,Volleyball (W),"W.Z.
I.Z.","The IIS University, Jaipur
The IIS University, Jaipur","IIIrd week Nov. 2018
22-26 Nov. 2018"
40,"Weight lifting (M),
Best Physique (M)",A.I.,"University of Calicut,",20-23 Nov. 2018
40,Weight lifting (W),A.I.,Vacant,
41,Wrestling FS (M) & GR (M),A.I.,"Ch. Bansilal University, Haryana",08-10 Nov. 2018
41,Wrestling (W) FS,A.I.,"Babasaheb Ambedekar Uni, Marathwada",03-05 Nov. 2018
42,Yoga (M&W),A.I.,"University of Madras, Chennai",16-20 Dec. 2018
