S.No.,EVENTS,STATUS,ORGANISING UNIVERSITY,"PROPOSED DATE  I/U
TOURNAMENT"
1,Aquatics (M),A.I.,Vacant,28-31 Oct. 2019
2,Aquatics (W),A.I.,Vacant,02-04 Nov. 2019
3,Archery (M&W),A.I.,"KIIT University, Bhubaneshwar",26-29 Dec. 2019
4,Athletics (M&W),A.I.,Rajiv Gandhi Uni. of HS (AP),24-28 Nov. 2019
5,Badminton (M),W.Z. I.Z.,"SRTM University, Nanded
SRTM University, Nanded","IIIrd week Nov. 2019
23-26 Nov. 2019"
6,Badminton (W),"W.Z.
I.Z.","University of Kota, Kota
RTM University, Nagpur","Ist week Dec. 2019
13-16 Dec. 2019"
7,Baseball (Men),A.I,"Assam Royal Global Uni., Assam",27-30 March 2020
8,Baseball (Women),A.I,"Savitribai Phule University, Pune",09-12 April 2020
9,Basketball (M),"W.Z.
I.Z.","SRTM University, Nanded
SRTM University, Nanded","IVth week Nov. 2019
28-31 Nov. 2019"
10,Basketball (W),"W.Z
I.Z","ITM University, Gwalior
DCR Murthal (HR)","IIIrd  week Dec. 2019
25-29 Dec. 2019"
11,Boxing (M&W),A.I,"CCS University, Meerut","21-28 Feb. 2020 (M)
26-30 Jan. 2020 (F)"
12,Chess (M),W.Z I.Z,"Vacant
Vacant","Ist week Dec. 2020
20-22 Dec. 2019"
13,Chess (W),"W.Z
I.Z","Vacant
Vacant","Last week Nov. 2019
12-16 Dec. 2019"
14,Cricket (M),"W.Z.
I.Z.","ITM University, Gwalior
Acharya Nagarjuna University, Guntur","IInd week Jan. 2020
03-13 Feb. 2020"
15,Cricket (W),W.Z I.Z,"Vacant
Manipal University, Jaipur","Last week Jan. 2020
16-18 Feb. 2020"
16,Cross Country Race(M),A.I.,"Mangalore University, Mangalore",06 Oct. 2019
17,Cross Country Race(W),A.I.,"Andhra University, Vishakhapatnam",10 Oct. 2019
18,Foot ball (M),"W.Z.
I.Z.","Barkatullah University, Bhopal
Sant Baba Bhag Singh Univ., (PB)","IInd week Dec. 2019
24-31 Dec. 2019"
19,Foot ball (W),"W.Z.
I.Z.","Rani Durgawati Univeristy, Jabalpur
Utkal University, Bhubaneshwar","Ist week Jan. 2020
14-19 Jan. 2020"
20,"Gymnastics (M&W)
& Malakhamb (M&W)",A.I.,"GND University, Amritsar","13-15 Nov. 2019 (M)
17-19 Nov. 2019 (W)"
21,Handball (M),"W.Z
I.Z.","LNIPE., Gwalior
MG Kashi University, Varanasi","IIIrd week Feb. 2020
01-05 March 2020"
22,Handball (W),"W.Z
I.Z.","LNIPE Univeristy, Gwalior
Periyar University, Salem","IInd week Jan. 2020
20-25 Jan. 2020"
23,Hockey (M),"W.Z.
I.Z","LNIPE Univeristy, Gwalior
LNIPE Univeristy, Gwalior","IIIrd week  Oct. 2019
01-12 Nov. 2019"
24,Hockey (W),"W.Z
I.Z","Vacant
TNPE University, Chennai","IIIrd week Dec 2019
25-28 Dec. 2019"
25,Indoor Hockey 5’s (M),A.I.,Vacant,02-05 April 2020
26,Judo (M),A.I.,"CSJM University, Kanpur",27-29 Dec. 2019
27,Judo (W),A.I.,"CSJM University, Kanpur",10-12 Dec. 2019
28,Kabaddi (M),"W.Z.
I.Z.","University of Kota, Kota
Mangalore University, Mangalore","Ist week Dec. 2019
19-22 Dec. 2019"
